YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,MICROSECOND,centroid_x,centroid_y,tail_x,tail_y,head_x,head_y
2020,12,22,16,8,32,240085,74,53,0,0,0,0
2020,12,22,16,8,32,274856,74,53,0,0,0,0
2020,12,22,16,8,32,306241,74,53,0,0,0,0
2020,12,22,16,8,32,337928,74,53,0,0,0,0
2020,12,22,16,8,32,372299,74,53,0,0,0,0
2020,12,22,16,8,32,404187,74,53,0,0,0,0
2020,12,22,16,8,32,432198,74,53,0,0,0,0
2020,12,22,16,8,32,473747,74,53,0,0,0,0
2020,12,22,16,8,32,504054,74,53,0,0,0,0
2020,12,22,16,8,32,540297,74,53,0,0,0,0
2020,12,22,16,8,32,572075,74,53,0,0,0,0
2020,12,22,16,8,32,604031,74,53,0,0,0,0
2020,12,22,16,8,32,640068,74,53,0,0,0,0
2020,12,22,16,8,32,671998,74,53,0,0,0,0
2020,12,22,16,8,32,708034,74,53,0,0,0,0
2020,12,22,16,8,32,740092,74,53,0,0,0,0
2020,12,22,16,8,32,772103,74,53,0,0,0,0
2020,12,22,16,8,32,808042,74,53,0,0,0,0
2020,12,22,16,8,32,840066,74,53,0,0,0,0
2020,12,22,16,8,32,876016,74,53,0,0,0,0
2020,12,22,16,8,32,908056,74,53,0,0,0,0
2020,12,22,16,8,32,940094,74,53,0,0,0,0
2020,12,22,16,8,32,976081,74,53,0,0,0,0
2020,12,22,16,8,33,8138,74,53,0,0,0,0
2020,12,22,16,8,33,44456,74,53,0,0,0,0
2020,12,22,16,8,33,76135,74,53,0,0,0,0
2020,12,22,16,8,33,108051,74,53,0,0,0,0
2020,12,22,16,8,33,144081,74,53,0,0,0,0
2020,12,22,16,8,33,176086,74,53,0,0,0,0
2020,12,22,16,8,33,208081,74,53,0,0,0,0
2020,12,22,16,8,33,244082,74,53,0,0,0,0
2020,12,22,16,8,33,276021,74,53,0,0,0,0
2020,12,22,16,8,33,312041,74,53,0,0,0,0
2020,12,22,16,8,33,344195,74,53,0,0,0,0
2020,12,22,16,8,33,376121,74,53,0,0,0,0
2020,12,22,16,8,33,418266,74,53,0,0,0,0
2020,12,22,16,8,33,442105,74,53,0,0,0,0
2020,12,22,16,8,33,481695,74,53,0,0,0,0
2020,12,22,16,8,33,512291,74,53,0,0,0,0
2020,12,22,16,8,33,544567,74,53,0,0,0,0
2020,12,22,16,8,33,580159,74,53,0,0,0,0
2020,12,22,16,8,33,612059,74,53,0,0,0,0
2020,12,22,16,8,33,648122,74,53,0,0,0,0
2020,12,22,16,8,33,680030,74,53,0,0,0,0
2020,12,22,16,8,33,712075,74,53,0,0,0,0
