YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,MICROSECOND,body_centroid_x,body_centroid_y,tail_centroid_x,tail_centroid_y,head_centroid_x,head_centroid_y,body_contour_area,error,execution_time,frame_width,frame_height
2020,12,31,18,9,55,364223,77,66,88,86,52,55,0.003720119123760793,False,0.021689653396606445,424,472
2020,12,31,18,9,55,374302,77,66,88,87,52,53,0.0037426047329708985,False,0.009995698928833008,424,472
2020,12,31,18,9,55,383046,78,67,89,88,56,52,0.003542732651103294,False,0.008716106414794922,424,472
2020,12,31,18,9,55,393188,79,67,89,88,63,47,0.003422809401982731,False,0.010118961334228516,424,472
2020,12,31,18,9,55,401867,81,67,89,88,68,46,0.00338283498560921,False,0.008646488189697266,424,472
2020,12,31,18,9,55,410890,81,66,89,88,68,42,0.0035327390470099138,False,0.009002208709716797,424,472
2020,12,31,18,9,55,419592,82,66,89,88,72,40,0.0034727774224496324,False,0.008667469024658203,424,472
2020,12,31,18,9,55,428629,83,66,88,88,80,41,0.003257914934441957,False,0.00901484489440918,424,472
2020,12,31,18,9,55,437145,85,67,87,88,90,44,0.0032878957467220977,False,0.008485555648803711,424,472
2020,12,31,18,9,55,445757,89,69,86,90,99,49,0.003510253437799808,False,0.00858449935913086,424,472
2020,12,31,18,9,55,455579,93,70,84,89,113,59,0.003495263031659738,False,0.009797096252441406,424,472
2020,12,31,18,9,55,464471,97,72,82,88,120,64,0.0031979533098816758,False,0.008858919143676758,424,472
2020,12,31,18,9,55,473152,101,71,83,83,125,65,0.00317047089862488,False,0.008653879165649414,424,472
2020,12,31,18,9,55,482729,104,70,85,79,128,65,0.003237927726255197,False,0.009552955627441406,424,472
2020,12,31,18,9,55,491188,111,69,90,72,135,74,0.003292892548768788,False,0.008428812026977539,424,472
2020,12,31,18,9,55,500144,115,69,98,69,137,77,0.0029056403901503037,False,0.008932828903198242,424,472
2020,12,31,18,9,55,508805,117,71,100,70,140,79,0.002878157978893508,False,0.00862741470336914,424,472
2020,12,31,18,9,55,517784,120,73,0,0,144,80,0.0029431164055004795,False,0.008957386016845703,424,472
2020,12,31,18,9,55,526395,124,74,0,0,146,84,0.002865665973776783,False,0.008578300476074219,424,472
2020,12,31,18,9,55,535335,126,74,0,0,148,84,0.0028057043492165016,False,0.008916854858398438,424,472
2020,12,31,18,9,55,543740,127,73,0,0,150,78,0.0026757874960025583,False,0.008372783660888672,424,472
2020,12,31,18,9,55,552297,128,73,115,63,150,78,0.002733250719539495,False,0.008530855178833008,424,472
2020,12,31,18,9,55,562125,127,73,113,67,149,78,0.002525883434601855,False,0.009802579879760742,424,472
2020,12,31,18,9,55,570949,127,74,111,69,150,80,0.002708266709306044,False,0.008791208267211914,424,472
2020,12,31,18,9,55,579584,128,74,114,66,150,80,0.002618324272465622,False,0.008609294891357422,424,472
2020,12,31,18,9,55,589054,128,74,111,69,150,83,0.002698273105212664,False,0.009446144104003906,424,472
2020,12,31,18,9,55,597420,130,75,112,71,152,85,0.002873161176846818,False,0.008336067199707031,424,472
2020,12,31,18,9,55,606494,131,76,117,66,154,84,0.002888151582986888,False,0.009048938751220703,424,472
2020,12,31,18,9,55,615105,133,76,119,66,154,87,0.0028856531819635434,False,0.008577823638916016,424,472
2020,12,31,18,9,55,623997,134,76,120,66,158,82,0.0029406180044771347,False,0.008868932723999023,424,472
2020,12,31,18,9,55,632602,136,75,118,68,161,79,0.0030955188679245285,False,0.008573055267333984,424,472
